nid,title,category,indicator_type,measurement_unit,reference_year,source,description,data_csv,data_json,source_file
236,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles
","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Identifies the key obstacles organisations face when trying to recruit staff with the appropriate cybersecurity skills. This indicator helps highlight specific barriers in the cybersecurity talent acquisition process.",data/236.csv,data/236.json,26.csv
239,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training
","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Identifies the key obstacles organisations face when trying to recruit staff with the appropriate cybersecurity skills. This indicator helps highlight specific barriers in the cybersecurity talent acquisition process.",data/239.csv,data/239.json,29.csv
237,"Cybersecurity recruitment challenges:
Share of companies mentioning budget constraints in cybersecurity recruitment
","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Identifies the key obstacles organisations face when trying to recruit staff with the appropriate cybersecurity skills. This indicator helps highlight specific barriers in the cybersecurity talent acquisition process.",data/237.csv,data/237.json,27.csv
242,"Cybersecurity recruitment challenges:
Share of companies mentioning lack of awareness about cybersecurity roles","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Identifies the key obstacles organisations face when trying to recruit staff with the appropriate cybersecurity skills. This indicator helps highlight specific barriers in the cybersecurity talent acquisition process.",data/242.csv,data/242.json,32.csv
241,"Cybersecurity recruitment challenges:
Share of companies mentioning the competing environment for cybersecurity talent","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Identifies the key obstacles organisations face when trying to recruit staff with the appropriate cybersecurity skills. This indicator helps highlight specific barriers in the cybersecurity talent acquisition process.",data/241.csv,data/241.json,31.csv
240,"Cybersecurity recruitment challenges:
Share of companies mentioning the security clearance requirements in cybersecurity hiring
","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Identifies the key obstacles organisations face when trying to recruit staff with the appropriate cybersecurity skills. This indicator helps highlight specific barriers in the cybersecurity talent acquisition process.",data/240.csv,data/240.json,30.csv
243,"Cybersecurity recruitment challenges:
Share of companies struggling to manage cybersecurity staff turnover","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Identifies the key obstacles organisations face when trying to recruit staff with the appropriate cybersecurity skills. This indicator helps highlight specific barriers in the cybersecurity talent acquisition process.",data/243.csv,data/243.json,33.csv
235,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Identifies the key obstacles organisations face when trying to recruit staff with the appropriate cybersecurity skills. This indicator helps highlight specific barriers in the cybersecurity talent acquisition process.",data/235.csv,data/235.json,25.csv
234,"Cybersecurity skills gap in hiring:
Share of enterprises having no difficulties in hiring staff with appropriate cybersecurity skills","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Measures the level of challenge companies face in finding and hiring staff with the appropriate cybersecurity skills.",data/234.csv,data/234.json,24.csv
233,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Measures the level of challenge companies face in finding and hiring staff with the appropriate cybersecurity skills.",data/233.csv,data/233.json,23.csv
244,"Cybersecurity talent demand:
Share of companies reporting at least one Cybersecurity position (FTE) needing to be filled","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to understand the scale of the cybersecurity staffing needs.",data/244.csv,data/244.json,34.csv
228,"Cybersecurity workforce within companies:
Share of companies employing at least one Cybersecurity professionals","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Measures the share of companies that employ at least one employee within a company who holds positions or performs roles directly related to cybersecurity, providing insight into the organisation's capacity to defend against cyber threats.",data/228.csv,data/228.json,18.csv
254,"Most critical Cybersecurity skills:
Share of companies prioritising social engineering as key skill","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to assess the skills gap in the cybersecurity workforce and prioritise efforts in developing, recruiting, or training the necessary skills to address the most important cybersecurity challenges they face.",data/254.csv,data/254.json,44.csv
257,"Most critical Cybersecurity skills:  Share of companies emphasising cyber threat information collection and analysis","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to assess the skills gap in the cybersecurity workforce and prioritise efforts in developing, recruiting, or training the necessary skills to address the most important cybersecurity challenges they face.",data/257.csv,data/257.json,47.csv
256,"Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to assess the skills gap in the cybersecurity workforce and prioritise efforts in developing, recruiting, or training the necessary skills to address the most important cybersecurity challenges they face.",data/256.csv,data/256.json,46.csv
262,"Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to assess the skills gap in the cybersecurity workforce and prioritise efforts in developing, recruiting, or training the necessary skills to address the most important cybersecurity challenges they face.",data/262.csv,data/262.json,52.csv
259,"Most critical Cybersecurity skills: Share of companies focusing on software/hardware security analysis and review","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to assess the skills gap in the cybersecurity workforce and prioritise efforts in developing, recruiting, or training the necessary skills to address the most important cybersecurity challenges they face.",data/259.csv,data/259.json,49.csv
260,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to assess the skills gap in the cybersecurity workforce and prioritise efforts in developing, recruiting, or training the necessary skills to address the most important cybersecurity challenges they face.",data/260.csv,data/260.json,50.csv
255,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to assess the skills gap in the cybersecurity workforce and prioritise efforts in developing, recruiting, or training the necessary skills to address the most important cybersecurity challenges they face.",data/255.csv,data/255.json,45.csv
258,"Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to assess the skills gap in the cybersecurity workforce and prioritise efforts in developing, recruiting, or training the necessary skills to address the most important cybersecurity challenges they face.",data/258.csv,data/258.json,48.csv
