project_id,project_acronym,project_title,participant_name,participant_short_name,pic,country,country_code,org_type,is_coordinator,eu_contribution
101167904,CASTOR,"Trustworthy Networks and Path Security","COLLINS AEROSPACE IRELAND, LIMITED",,971136162,Ireland,IE,company,no,427315
101167904,CASTOR,"Trustworthy Networks and Path Security","EREVNITIKO PANEPISTIMIAKO INSTITOUTO SYSTIMATON EPIKOINONION KAI YPOLOGISTON",,999654356,Greece,GR,research_institution,no,391500
101167904,CASTOR,"Trustworthy Networks and Path Security","SUITE5 DATA INTELLIGENCE SOLUTIONS LIMITED",,910462080,Cyprus,CY,company,no,393093.75
101167904,CASTOR,"Trustworthy Networks and Path Security",K3Y,,905140563,Bulgaria,BG,sme,no,356125
101167904,CASTOR,"Trustworthy Networks and Path Security","WINGS ICT SOLUTIONS TECHNOLOGIES PLIROFORIKIS KAI EPIKOINONION ANONYMI ETAIREIA",,952269953,Greece,GR,sme,no,383250
101167904,CASTOR,"Trustworthy Networks and Path Security","UNIVERSIDAD DE MURCIA",,999844282,Spain,ES,university,no,401312.5
101167904,CASTOR,"Trustworthy Networks and Path Security","FERON TECHNOLOGIES IDIOTIKI KEFALAIOUCHIKI ETAIREIA",,923477540,Greece,GR,sme,no,288750
101167904,CASTOR,"Trustworthy Networks and Path Security","COMMSIGNIA Korlatolt Felelossegu Tarsasag",,951878461,Hungary,HU,sme,no,350875
101167904,CASTOR,"Trustworthy Networks and Path Security","UNIVERSITEIT VAN AMSTERDAM",,999985708,Netherlands,NL,university,no,415080
101167904,CASTOR,"Trustworthy Networks and Path Security","QUBITECH IDIOTIKI KEFALAIOUCHIKI ETAIREIA",,889088615,Greece,GR,sme,no,199500
101167904,CASTOR,"Trustworthy Networks and Path Security","DIGITAL FOR PLANET-D4P",,897171237,,,other,no,
101167904,CASTOR,"Trustworthy Networks and Path Security","UNIVERSITY OF SURREY",,999985223,,,university,no,
101167904,CASTOR,"Trustworthy Networks and Path Security","UNIVERSITY OF KENT",,999841275,,,university,no,
101225878,CCAT,"Cybersecurity Certification and Assessment Tools","Masarykova univerzita",,999880657,Czechia,CZ,university,yes,1608650
101225878,CCAT,"Cybersecurity Certification and Assessment Tools","UNIVERSITAET PADERBORN",,999837492,Germany,DE,university,no,1559317.5
101225878,CCAT,"Cybersecurity Certification and Assessment Tools","UNIVERSITA CA' FOSCARI  VENEZIA",,999897341,Italy,IT,university,no,500852.5
101225878,CCAT,"Cybersecurity Certification and Assessment Tools","CYBERNETICA AS",,999754363,Estonia,EE,sme,no,151112.5
101225878,CCAT,"Cybersecurity Certification and Assessment Tools","MONET+,A.S.",,872112257,Czechia,CZ,company,no,124250
101225878,CCAT,"Cybersecurity Certification and Assessment Tools","10SEC SRL",,891533209,Italy,IT,sme,no,236543.58
101225878,CCAT,"Cybersecurity Certification and Assessment Tools","TARTU ULIKOOL",,999895013,Estonia,EE,university,no,42430
101225878,CCAT,"Cybersecurity Certification and Assessment Tools","RED HAT CZECH S R O",,897561953,Czechia,CZ,company,no,
101225878,CCAT,"Cybersecurity Certification and Assessment Tools","TROPIC SQUARE S.R.O",,889715332,Czechia,CZ,sme,no,
101189683,CEI-Sphere,"Cloud-Edge-IoT Spheres of Large-Scale Pilots","BLUSPECS SL",,904412578,Spain,ES,company,yes,448125
101189683,CEI-Sphere,"Cloud-Edge-IoT Spheres of Large-Scale Pilots","ALLIANCE FOR AI, IOT AND EDGE CONTINUUM INNOVATION IVZW",,890036790,Belgium,BE,other,no,229375
101189683,CEI-Sphere,"Cloud-Edge-IoT Spheres of Large-Scale Pilots","IDC ITALIA SRL",,951376971,Italy,IT,company,no,171250
101189683,CEI-Sphere,"Cloud-Edge-IoT Spheres of Large-Scale Pilots",TRIALOG,,999617884,France,FR,sme,no,233000
101189683,CEI-Sphere,"Cloud-Edge-IoT Spheres of Large-Scale Pilots","TRUST-IT SERVICES SRL",,906664821,Italy,IT,company,no,156125
